your_color,opening_name,eco,draw,loss,win,total,win_rate
Black,Caro Kann Defense Accelerated Panov Modern Variation 5.Nc3 Nxd5 6.Nf3 Nc6 7.d4,B10,0,1,1,2,0.5
Black,Caro Kann Defense Advance Botvinnik Carls Defense 4.dxc5,B12,0,1,0,1,0.0
Black,Caro Kann Defense Breyer Variation,B10,0,0,1,1,1.0
Black,Caro Kann Defense Exchange Rubinstein Variation 6,B13,0,5,4,9,0.4444444444444444
Black,Caro Kann Defense Exchange Variation,B13,0,7,2,9,0.2222222222222222
Black,Caro Kann Defense Exchange Variation 3,B13,1,5,9,15,0.6
Black,Caro Kann Defense Fantasy Variation,B12,0,1,0,1,0.0
Black,Caro Kann Defense Panov Attack,B14,0,18,12,30,0.4
Black,Caro Kann Defense Panov Attack 4,B13,0,8,6,14,0.42857142857142855
Black,Caro Kann Defense Panov Attack 4,B14,0,1,3,4,0.75
Black,Caro Kann Defense Panov Modern Carlsbad Line,B13,0,0,1,1,1.0
Black,Caro Kann Defense Panov Modern Carlsbad Line 7.Nf3,B13,0,0,1,1,1.0
Black,Caro Kann Defense Panov Modern Carlsbad Line 7.Nf3 Be7,B13,0,3,1,4,0.25
Black,Caro Kann Defense Panov Modern Carlsbad Line 7.Nf3 Be7 8.c5 O O,B13,0,0,1,1,1.0
Black,Caro Kann Defense Panov Modern Carlsbad Line 7.c5,B13,0,1,0,1,0.0
Black,Caro Kann Defense Panov Modern Defense,B13,0,0,2,2,1.0
Black,Caro Kann Defense Panov Modern Mieses Line,B13,0,0,2,2,1.0
Black,Catalan Opening Closed 4,E04,0,1,0,1,0.0
Black,Center Game,C21,0,0,3,3,1.0
Black,Clemenz Opening,A00,0,3,1,4,0.25
Black,Closed Sicilian Defense,B23,0,0,2,2,1.0
Black,Closed Sicilian Defense 2,B23,1,41,51,93,0.5483870967741935
Black,Closed Sicilian Defense Fianchetto Variation,B24,0,6,9,15,0.6
Black,Closed Sicilian Defense Fianchetto Variation 3,B24,2,5,9,16,0.5625
Black,Closed Sicilian Defense Grand Prix Attack,B23,0,5,8,13,0.6153846153846154
Black,Closed Sicilian Defense Grand Prix Attack 3,B23,3,30,33,66,0.5
Black,Closed Sicilian Defense Traditional Line,B23,0,0,1,1,1.0
Black,Closed Sicilian Defense Traditional Line 3.Bb5 e6,B23,0,0,1,1,1.0
Black,Closed Sicilian Defense Traditional Line 3.Bb5 e6 4.Bxc6 bxc6,B23,0,4,0,4,0.0
Black,Closed Sicilian Defense Traditional Line 3.Nf3 e5,B23,0,1,0,1,0.0
Black,Colle System 3,D04,0,0,1,1,1.0
Black,Colle System 3,D05,0,1,3,4,0.75
Black,Colle System Rubinstein Opening 5,D05,0,1,0,1,0.0
Black,Colle System Traditional Line,D05,0,0,1,1,1.0
Black,Danish Gambit,C21,0,0,1,1,1.0
Black,Dutch Defense 2.Bf4 Nf6 3.e3 e6,A80,0,0,1,1,1.0
Black,Dutch Defense 2.Bf4 Nf6 3.e3 g6,A80,1,0,0,1,0.0
Black,Dutch Defense 2.Nf3 Nf6 3.Bf4 e6,A80,0,1,0,1,0.0
Black,Dutch Defense Classical Rubinstein Variation 3,A84,0,1,0,1,0.0
Black,Dutch Defense Classical Variation 3.Nf3 Nf6,A84,0,1,0,1,0.0
Black,Dutch Defense Classical Variation 3.Nf3 Nf6 4.e3,A84,0,1,0,1,0.0
Black,Dutch Defense Staunton Gambit Accepted 3.Nc3 Nf6,A82,0,0,1,1,1.0
Black,English Opening 1,A10,0,1,1,2,0.5
Black,English Opening Agincourt Defense,A13,0,9,3,12,0.25
Black,English Opening Agincourt Defense 2.Nc3 c5 3.Nf3 Nf6,A13,0,2,2,4,0.5
Black,English Opening Agincourt Defense 2.g3 c5 3.Bg2 Nc6,A13,1,2,1,4,0.25
Black,English Opening Agincourt Wimpey System 5,A13,0,2,1,3,0.3333333333333333
Black,English Opening Anglo Indian Anglo Grunfeld Defense 3.cxd5,A16,0,1,0,1,0.0
Black,English Opening Anglo Indian Defense 2.g3 c5 3.Bg2 e6,A15,0,1,1,2,0.5
Black,English Opening Anglo Indian Defense 2.g3 c5 3.Bg2 g6,A15,0,1,0,1,0.0
Black,English Opening Anglo Indian Defense 2.g3 e6 3.Bg2,A15,0,1,0,1,0.0
Black,English Opening Anglo Indian Queens Knight Variation,A16,0,1,0,1,0.0
Black,English Opening Anglo Indian Queens Knight Variation 2,A17,0,2,0,2,0.0
Black,English Opening Anglo Scandinavian Defense 2.cxd5 Qxd5 3.Nc3,A10,0,1,0,1,0.0
Black,English Opening Anglo Scandinavian Malvinas Variation,A10,0,1,1,2,0.5
Black,English Opening Caro Kann Defensive System,A11,1,1,0,2,0.0
Black,English Opening Caro Kann Defensive System 2.Nf3 d5 3.e3 Nf6,A11,0,0,1,1,1.0
Black,English Opening Kings English Variation,A20,1,0,1,2,0.5
Black,English Opening Kings English Variation 2.e3,A20,1,0,0,1,0.0
Black,English Opening Mikenas Carls Sicilian Variation,A19,0,1,2,3,0.6666666666666666
Black,English Opening Neo Catalan Defense,A13,0,2,0,2,0.0
Black,English Opening Neo Catalan Defense 4.Bg2 c5 5.cxd5 exd5,A13,0,1,0,1,0.0
Black,English Opening Reversed Sicilian Kramnik Shirov Counterattack,A21,0,0,1,1,1.0
Black,English Opening Symmetrical Anti Benoni Variation,A31,0,1,0,1,0.0
Black,English Opening Symmetrical Anti Benoni Variation,A32,0,0,2,2,1.0
Black,English Opening Symmetrical Anti Benoni Variation,A33,0,8,5,13,0.38461538461538464
Black,English Opening Symmetrical Anti Benoni Variation 3,A31,0,0,1,1,1.0
Black,English Opening Symmetrical Fianchetto Variation,A34,0,0,2,2,1.0
Black,English Opening Symmetrical Fianchetto Variation 3,A34,0,1,0,1,0.0
Black,English Opening Symmetrical Four Knights Variation 4.e3 e6,A35,0,1,1,2,0.5
Black,English Opening Symmetrical Three Knights Keres Parma System 5.Bg2,A34,0,1,1,2,0.5
Black,English Opening Symmetrical Three Knights Keres Parma System 5.Bg2 Be7,A34,1,1,0,2,0.0
Black,English Opening Symmetrical Three Knights Keres Parma System 5.Bg2 Be7 6.O O,A34,0,1,1,2,0.5
Black,English Opening Symmetrical Three Knights Keres Parma System 5.Bg2 Be7 6.O O O O,A34,0,1,0,1,0.0
Black,English Opening Symmetrical Three Knights Keres Parma System 5.Bg2 d5 6.cxd5 exd5,A34,0,4,2,6,0.3333333333333333
Black,English Opening Symmetrical Three Knights System,A34,0,2,3,5,0.6
Black,English Opening Symmetrical Three Knights System 3,A34,0,4,4,8,0.5
Black,English Opening Symmetrical Two Knights Fianchetto Variation,A36,0,6,1,7,0.14285714285714285
Black,English Opening Symmetrical Two Knights Fianchetto Variation 3,A36,0,13,13,26,0.5
Black,English Opening Symmetrical Two Knights Variation,A35,0,0,1,1,1.0
Black,English Opening Symmetrical Two Knights Variation 3.Nf3 e6,A35,0,1,2,3,0.6666666666666666
Black,English Opening Symmetrical Variation,A30,0,11,13,24,0.5416666666666666
Black,English Opening Symmetrical Variation 2.Nc3,A34,0,0,3,3,1.0
Black,English Opening Symmetrical Variation 2.Nc3 e6,A34,0,2,11,13,0.8461538461538461
Black,English Opening Symmetrical Variation 2.Nf3 Nc6 3.e3 Nf6,A30,0,1,0,1,0.0
Black,English Opening Symmetrical Variation 2.Nf3 Nf6 3.e3 e6,A30,0,2,0,2,0.0
Black,English Opening Symmetrical Variation 2.Nf3 e6,A30,0,1,1,2,0.5
Black,English Opening Symmetrical Variation 2.b3,A30,0,2,1,3,0.3333333333333333
Black,English Opening Symmetrical Variation 2.b3 Nc6,A30,0,0,1,1,1.0
Black,English Opening Symmetrical Variation 2.g3,A30,0,1,0,1,0.0
Black,Englund Gambit,A40,0,2,0,2,0.0
Black,Englund Gambit 2.dxe5 Nc6 3.Nf3,A40,0,1,0,1,0.0
Black,Four Knights Game,C47,0,0,1,1,1.0
Black,Four Knights Game Double Spanish Nimzowitsch Variation 6,C49,0,1,0,1,0.0
Black,Four Knights Game Italian Variation 4,C47,0,0,1,1,1.0
Black,Four Knights Game Scotch Variation,C47,0,1,0,1,0.0
Black,Four Knights Game Scotch Variation Accepted,C47,0,4,6,10,0.6
Black,Four Knights Game Scotch Variation Accepted 5.Nxd4,C47,0,0,1,1,1.0
Black,Four Knights Game Scotch Variation Accepted 5.Nxd4 Bb4 6.Nxc6 bxc6,C47,0,0,1,1,1.0
Black,Four Knights Game Scotch Variation Accepted 5.Nxd4 d6,C47,0,1,1,2,0.5
Black,Four Knights Game Spanish Variation,C48,0,1,1,2,0.5
Black,Four Knights Game Spanish Variation Ranken Variation,C48,0,1,0,1,0.0
Black,French Defense Advance Nimzowitsch System,C02,0,1,2,3,0.6666666666666666
Black,French Defense Advance Nimzowitsch System 4,C02,0,0,2,2,1.0
Black,French Defense Advance Paulsen Attack,C02,0,27,32,59,0.5423728813559322
Black,French Defense Advance Paulsen Attack 5,C02,3,47,55,105,0.5238095238095238
Black,French Defense Advance Paulsen Main Line 6,C02,0,1,0,1,0.0
Black,French Defense Advance Paulsen Main Line Lputian Variation 7.b4 cxd4 8.cxd4 Nf5 9.Be3,C02,0,0,1,1,1.0
Black,French Defense Advance Paulsen Milner Barry Gambit 6,C02,0,1,0,1,0.0
Black,French Defense Advance Steinitz Variation,C02,0,1,0,1,0.0
Black,French Defense Advance Steinitz Variation 4,C02,0,0,1,1,1.0
Black,French Defense Advance Variation 3,C02,0,0,1,1,1.0
Black,French Defense Chigorin Variation 2,C00,0,2,2,4,0.5
Black,French Defense Classical MacCutcheon Exchange Variation 5,C12,0,1,0,1,0.0
Black,French Defense Classical Steinitz Variation,C11,0,1,2,3,0.6666666666666666
Black,French Defense Exchange Variation 3,C01,0,1,0,1,0.0
Black,French Defense Franco Sicilian Defense,C00,2,18,22,42,0.5238095238095238
Black,French Defense Kings Indian Attack,C00,0,0,2,2,1.0
Black,French Defense Kings Indian Attack 2,C00,2,26,37,65,0.5692307692307692
Black,French Defense Knight Variation Two Knights Variation,C00,0,1,0,1,0.0
Black,French Defense Knight Variation Wing Gambit,C00,0,0,2,2,1.0
Black,French Defense Knight Variation Wing Gambit 4,C00,0,1,0,1,0.0
Black,French Defense La Bourdonnais Variation,C00,0,14,17,31,0.5483870967741935
Black,French Defense La Bourdonnais Variation 2,C00,0,2,3,5,0.6
Black,French Defense Normal Variation,C00,0,1,0,1,0.0
Black,French Defense Normal Variation,C10,0,1,0,1,0.0
Black,French Defense Normal Variation 2,C10,0,3,0,3,0.0
Black,French Defense Steiner Variation 2,C00,0,2,0,2,0.0
Black,French Defense Tarrasch Open Suchting Line 4,C07,0,2,2,4,0.5
Black,Giuoco Piano Game 4.O O Nf6 5.Nc3 d6,C50,0,0,1,1,1.0
Black,Giuoco Piano Game Giuoco Pianissimo Italian Four Knights Variation 5,C50,0,1,0,1,0.0
Black,Grob Opening,A00,0,4,7,11,0.6363636363636364
Black,Grob Opening 1,A00,0,1,0,1,0.0
Black,Indian Game,A45,0,8,2,10,0.2
Black,Indian Game 2.Bf4 e6,A45,0,1,0,1,0.0
Black,Indian Game 2.Bf4 e6 3.e3 d5,A45,0,1,1,2,0.5
Black,Indian Game 2.Bf4 e6 3.e3 d5 4.Bd3,A45,0,1,1,2,0.5
Black,Indian Game 2.Bf4 e6 3.e3 d5 4.Nf3,A45,0,2,1,3,0.3333333333333333
Black,Indian Game East Indian Anti Nimzo Indian Variation,E10,0,3,1,4,0.25
Black,Indian Game East Indian Anti Nimzo Indian Variation 3,E10,0,11,4,15,0.26666666666666666
Black,Indian Game East Indian Defense,E00,1,2,0,3,0.0
Black,Indian Game East Indian Defense 3.a3 d5,E00,0,0,1,1,1.0
Black,Indian Game East Indian Defense 3.a3 d5 4.Nc3,E00,0,0,2,2,1.0
Black,Indian Game Knights Variation,A46,0,14,9,23,0.391304347826087
Black,Indian Game Knights Variation 2,A46,0,0,1,1,1.0
Black,Indian Game London System 3,A46,0,5,5,10,0.5
Black,Indian Game Spielmann Indian Variation,A46,0,1,1,2,0.5
Black,Indian Game Spielmann Indian Variation 3.c3 cxd4 4.cxd4,A46,0,1,0,1,0.0
Black,Indian Game Spielmann Indian Variation 3.d5 e6 4.Nc3 d6,A46,0,3,5,8,0.625
Black,Indian Game Spielmann Indian Variation 3.d5 e6 4.Nc3 d6 5.e4,A46,0,8,5,13,0.38461538461538464
Black,Indian Game Spielmann Indian Variation 3.dxc5 e6,A46,1,2,4,7,0.5714285714285714
Black,Indian Game Spielmann Indian Variation 3.e3 cxd4 4.exd4,A46,0,1,2,3,0.6666666666666666
Black,Indian Game Tartakower Attack,A45,0,1,1,2,0.5
Black,Indian Game Yusupov Rubinstein System,A46,0,1,0,1,0.0
Black,Indian Game Yusupov Rubinstein System 3,A46,1,3,5,9,0.5555555555555556
Black,Italian Game,C50,0,2,2,4,0.5
Black,Italian Game Two Knights Modern Bishops Opening 4,C55,0,1,1,2,0.5
Black,Kings Fianchetto Opening,A00,0,2,1,3,0.3333333333333333
Black,Kings Fianchetto Opening 1,A00,0,1,0,1,0.0
Black,Kings Fianchetto Opening Catalan Formation,A00,0,0,1,1,1.0
Black,Kings Fianchetto Opening Indian Defense 2.Bg2 c5,A00,0,2,0,2,0.0
Black,Kings Fianchetto Opening Reversed Modern Defense,A00,0,1,2,3,0.6666666666666666
Black,Kings Fianchetto Opening Sicilian Invitation,A00,0,3,8,11,0.7272727272727273
Black,Kings Fianchetto Opening Sicilian Invitation 2.Bg2,A00,1,28,18,47,0.3829787234042553
Black,Kings Fianchetto Opening Sicilian Invitation 2.Bg2 Nc6,A00,0,2,1,3,0.3333333333333333
Black,Kings Gambit 2,C30,0,1,0,1,0.0
Black,Kings Gambit Accepted Modern Abbazia Defense 5.Bc4,C36,0,0,1,1,1.0
Black,Kings Gambit Declined Falkbeer Accepted Staunton Line,C31,0,1,0,1,0.0
Black,Kings Gambit Declined Falkbeer Accepted Staunton Rubinstein Variation,C31,0,1,0,1,0.0
Black,Kings Gambit Declined Falkbeer Blackburne Attack,C31,0,0,1,1,1.0
Black,Kings Gambit Declined Falkbeer Countergambit Accepted,C31,0,0,1,1,1.0
Black,Kings Indian Attack French Variation,A08,1,3,2,6,0.3333333333333333
Black,Kings Indian Attack French Variation 4.O O e6 5.d3 Nf6,A08,2,10,6,18,0.3333333333333333
Black,Kings Indian Attack French Variation 4.O O e6 5.d3 Nf6 6.Nbd2,A08,0,5,5,10,0.5
Black,Kings Indian Attack French Variation 4.d4 Nf6,A08,0,1,0,1,0.0
Black,Kings Indian Attack French Variation 4.d4 cxd4 5.Nxd4,A08,0,0,1,1,1.0
Black,Kings Indian Attack Sicilian Variation,A08,0,3,4,7,0.5714285714285714
Black,Kings Indian Attack Yugoslav Variation,A07,0,0,1,1,1.0
Black,Kings Indian Defense,E60,0,0,1,1,1.0
Black,Kings Indian Defense Four Pawns Attack 5,E76,0,0,1,1,1.0
Black,Kings Indian Defense Four Pawns Dynamic Line 7,E76,0,2,0,2,0.0
Black,Kings Indian Defense Four Pawns Normal Attack 8,E77,0,0,1,1,1.0
Black,Kings Indian Defense Makogonov Variation,E71,0,0,1,1,1.0
Black,Kings Indian Defense Normal Variation,E70,0,1,2,3,0.6666666666666666
Black,Kings Indian Defense Normal Variation,E90,0,1,1,2,0.5
Black,Kings Indian Defense Orthodox Variation,E91,0,1,0,1,0.0
Black,Kings Indian Defense Orthodox Variation 6,E91,0,1,0,1,0.0
Black,Kings Indian Defense Samisch Steiner Attack 6,E81,0,0,1,1,1.0
Black,Kings Pawn Opening,B00,1,2,1,4,0.25
Black,Kings Pawn Opening 1,C20,0,3,4,7,0.5714285714285714
Black,Kings Pawn Opening Latvian Gambit Accepted,C40,0,1,0,1,0.0
Black,Kings Pawn Opening Leonardis Variation,C20,0,0,2,2,1.0
Black,Kings Pawn Opening Leonardis Variation 2,C20,0,1,3,4,0.75
Black,London System,D02,0,12,16,28,0.5714285714285714
Black,London System 3,D02,0,7,7,14,0.5
Black,Mieses Opening 1,A00,0,15,19,34,0.5588235294117647
Black,Modern Defense Pterodactyl Defense,A40,0,2,1,3,0.3333333333333333
Black,Modern Defense with 1 e4 2.d4 Bg7 3.Nf3,B06,0,1,0,1,0.0
Black,Nimzowitsch Defense,B00,0,0,2,2,1.0
Black,Nimzowitsch Defense 2.Nc3,B00,0,1,0,1,0.0
Black,Nimzowitsch Defense 2.d4,B00,1,3,3,7,0.42857142857142855
Black,Nimzowitsch Defense 2.d4 e6 3.Nf3 d5 4.e5,B00,0,0,1,1,1.0
Black,Nimzowitsch Defense Declined,B00,0,3,2,5,0.4
Black,Nimzowitsch Defense Declined 2,B00,0,1,1,2,0.5
Black,Nimzowitsch Defense Scandinavian Advance Variation,B00,0,0,1,1,1.0
Black,Nimzowitsch Defense Scandinavian Advance Variation 3,B00,0,1,0,1,0.0
Black,Nimzowitsch Defense Scandinavian Exchange Variation 4.Nf3 e5,B00,0,1,0,1,0.0
Black,Nimzowitsch Larsen Attack,A01,0,2,1,3,0.3333333333333333
Black,Nimzowitsch Larsen Attack 1,A01,1,2,0,3,0.0
Black,Nimzowitsch Larsen Attack Classical Variation 2.Bb2,A01,0,1,1,2,0.5
Black,Nimzowitsch Larsen Attack Classical Variation 2.Bb2 Nf6 3.e3 c6,A01,0,0,1,1,1.0
Black,Nimzowitsch Larsen Attack Classical Variation 2.Bb2 c5,A01,0,2,0,2,0.0
Black,Nimzowitsch Larsen Attack Classical Variation 2.Bb2 e6,A01,0,0,1,1,1.0
Black,Nimzowitsch Larsen Attack Classical Variation 2.e3 e5 3.Bb2,A01,0,0,1,1,1.0
Black,Nimzowitsch Larsen Attack English Variation,A01,0,2,4,6,0.6666666666666666
Black,Nimzowitsch Larsen Attack English Variation 2.Bb2,A01,0,18,24,42,0.5714285714285714
Black,Nimzowitsch Larsen Attack English Variation 2.Bb2 Nc6,A01,0,1,0,1,0.0
Black,Nimzowitsch Larsen Attack English Variation 2.Bb2 Nc6 3.e3,A01,0,2,0,2,0.0
Black,Nimzowitsch Larsen Attack Indian Variation,A01,0,6,6,12,0.5
Black,Nimzowitsch Larsen Attack Modern Variation 2.Bb2,A01,0,1,0,1,0.0
Black,Nimzowitsch Larsen Attack Modern Variation 2.Bb2 Nc6,A01,0,1,1,2,0.5
Black,Nimzowitsch Larsen Attack Modern Variation 2.Bb2 Nc6 3.e3 d5 4.Bb5,A01,0,1,0,1,0.0
Black,Nimzowitsch Larsen Attack Modern Variation 2.Bb2 Nc6 3.e3 d6 4.Bb5,A01,0,0,1,1,1.0
Black,Nimzowitsch Larsen Attack Modern Variation 2.Bb2 d6,A01,0,0,1,1,1.0
Black,Nimzowitsch Larsen Attack Modern Variation 2.Bb2 d6 3.e3,A01,0,1,0,1,0.0
Black,Nimzowitsch Larsen Attack Symmetrical Variation 2.Bb2 Bb7 3.e3,A01,0,1,0,1,0.0
Black,Old Benoni Defense,A43,3,101,136,240,0.5666666666666667
Black,Old Benoni Defense 2.c3 cxd4,A43,0,3,1,4,0.25
Black,Old Benoni Defense 2.c3 cxd4 3.cxd4,A43,0,13,9,22,0.4090909090909091
Black,Old Benoni Defense 2.c3 e6,A43,0,3,2,5,0.4
Black,Old Benoni Defense 2.d5 d6,A43,0,4,5,9,0.5555555555555556
Black,Old Benoni Defense 2.d5 d6 3.c4,A43,0,14,10,24,0.4166666666666667
Black,Old Benoni Defense 2.d5 d6 3.e4,A43,0,12,10,22,0.45454545454545453
Black,Old Benoni Defense 2.d5 d6 3.e4 Nf6,A43,0,0,1,1,1.0
Black,Old Benoni Defense 2.d5 d6 3.e4 Nf6 4.Nc3,A43,0,1,2,3,0.6666666666666666
Black,Old Benoni Defense 2.d5 e6,A43,1,7,6,14,0.42857142857142855
Black,Old Benoni Defense 2.d5 e6 3.Nc3,A43,0,1,0,1,0.0
Black,Old Benoni Defense 2.dxc5,A43,0,1,2,3,0.6666666666666666
Black,Old Benoni Defense 2.dxc5 e6,A43,2,58,66,126,0.5238095238095238
Black,Old Benoni Defense 2.dxc5 e6 3.Nc3,A43,0,2,1,3,0.3333333333333333
Black,Old Benoni Defense 2.dxc5 e6 3.Nc3 Bxc5,A43,0,15,16,31,0.5161290322580645
Black,Old Benoni Defense 2.dxc5 e6 3.Nc3 Bxc5 4.Ne4,A43,0,1,2,3,0.6666666666666666
Black,Old Benoni Defense 2.e3 cxd4,A43,1,7,8,16,0.5
Black,Old Benoni Defense 2.e3 cxd4 3.exd4,A43,2,26,18,46,0.391304347826087
Black,Old Benoni Defense 2.e3 e6,A43,0,7,14,21,0.6666666666666666
Black,Old Benoni Defense Benoni Indian Defense 3.Nc3 g6 4.e4 d6,A43,0,0,1,1,1.0
Black,Old Benoni Defense Franco Benoni Defense,A43,0,21,8,29,0.27586206896551724
Black,Old Benoni Defense Franco Benoni Defense 3,A43,1,7,8,16,0.5
Black,Old Benoni Defense Schmid Variation,A43,0,5,5,10,0.5
Black,Old Benoni Defense Semi Benoni Variation Blockade Variation,A44,0,0,1,1,1.0
Black,Old Benoni Defense Semi Benoni Variation Blockade Variation 4.c4,A44,0,0,1,1,1.0
Black,Owens Defense,B00,0,0,1,1,1.0
Black,Owens Defense 2.Nc3,B00,0,1,0,1,0.0
Black,Owens Defense 2.Nc3 Bb7,B00,0,0,1,1,1.0
Black,Owens Defense 2.d4,B00,0,1,0,1,0.0
Black,Owens Defense 2.d4 Bb7,B00,0,0,1,1,1.0
Black,Petrovs Defense,C42,0,4,4,8,0.5
Black,Petrovs Defense 3.d3 Nc6,C42,0,1,0,1,0.0
Black,Petrovs Defense Classical Variation,C42,0,2,4,6,0.6666666666666666
Black,Petrovs Defense Steinitz Attack,C43,0,1,0,1,0.0
Black,Petrovs Defense Steinitz Attack Center Attack 5,C43,0,1,0,1,0.0
Black,Petrovs Defense Three Knights Game,C42,0,0,4,4,1.0
Black,Pirc Defense,B07,1,0,0,1,0.0
Black,Pirc Defense 2.d4,B07,0,2,0,2,0.0
Black,Pirc Defense Lions Jaw Variation 3,B07,0,0,1,1,1.0
Black,Polish Opening,A00,0,6,7,13,0.5384615384615384
Black,Polish Opening 1,A00,0,7,4,11,0.36363636363636365
Black,Polish Opening Kucharkowski Meybohm Gambit 3.Bxe5,A00,1,0,0,1,0.0
Black,Polish Opening Schiffler Sokolsky Variation,A00,0,1,0,1,0.0
Black,Queens Gambit,D06,0,2,0,2,0.0
Black,Queens Gambit Accepted 3.Nc3 e5,D20,0,1,1,2,0.5
Black,Queens Gambit Accepted Classical Defense 6.O O Nc6 7.Nc3 cxd4 8.exd4,D26,0,1,0,1,0.0
Black,Queens Gambit Accepted Old Variation 3,D20,0,1,0,1,0.0
Black,Queens Gambit Accepted Showalter Variation 4,D24,0,1,0,1,0.0
Black,Queens Gambit Declined,D30,0,0,3,3,1.0
Black,Queens Gambit Declined 3.Nf3 Nf6,D30,0,0,1,1,1.0
Black,Queens Gambit Declined 3.Nf3 Nf6 4.e3,D30,0,1,0,1,0.0
Black,Queens Gambit Declined 3.Nf3 Nf6 4.e3 Bb4,D30,0,0,1,1,1.0
Black,Queens Gambit Declined 3.Nf3 Nf6 4.e3 c5 5.cxd5,D30,0,1,1,2,0.5
Black,Queens Gambit Declined 3.cxd5,D30,0,1,0,1,0.0
Black,Queens Gambit Declined 3.e3,D30,0,1,2,3,0.6666666666666666
Black,Queens Gambit Declined 3.e3 Nf6,D30,0,4,0,4,0.0
Black,Queens Gambit Declined 3.g3,D30,0,0,1,1,1.0
Black,Queens Gambit Declined Albin Countergambit,D08,0,6,3,9,0.3333333333333333
Black,Queens Gambit Declined Albin Countergambit 3.dxe5 d4,D08,0,1,1,2,0.5
Black,Queens Gambit Declined Albin Countergambit 3.dxe5 d4 4.Nf3 Nc6,D08,0,2,4,6,0.6666666666666666
Black,Queens Gambit Declined Albin Countergambit 3.e3,D08,0,0,1,1,1.0
Black,Queens Gambit Declined Albin Modern Line 5,D08,0,1,0,1,0.0
Black,Queens Gambit Declined Austrian Variation,D06,0,1,4,5,0.8
Black,Queens Gambit Declined Austrian Variation 3.cxd5,D06,0,2,2,4,0.5
Black,Queens Gambit Declined Austrian Variation 3.cxd5 Qxd5,D06,0,0,1,1,1.0
Black,Queens Gambit Declined Baltic Defense,D06,0,1,1,2,0.5
Black,Queens Gambit Declined Charousek Variation 4.Bf4 Nf6,D31,0,1,0,1,0.0
Black,Queens Gambit Declined Chigorin Defense,D07,0,0,2,2,1.0
Black,Queens Gambit Declined Chigorin Defense 3.Nc3,D07,0,1,1,2,0.5
Black,Queens Gambit Declined Chigorin Defense 3.Nc3 Nf6,D07,0,0,1,1,1.0
Black,Queens Gambit Declined Chigorin Defense 3.e3 e5,D07,0,1,1,2,0.5
Black,Queens Gambit Declined Chigorin Exchange Variation,D07,0,1,0,1,0.0
Black,Queens Gambit Declined Chigorin Tartakower Gambit,D06,0,0,1,1,1.0
Black,Queens Gambit Declined Exchange Variation,D35,0,1,0,1,0.0
Black,Queens Gambit Declined Exchange Variation 4,D35,1,1,0,2,0.0
Black,Queens Gambit Declined Harrwitz Attack,D35,0,4,0,4,0.0
Black,Queens Gambit Declined Marshall Defense,D06,0,1,1,2,0.5
